Kalorien,Kohlenhydrate,Protein,Fett,Kalzium,Vitamin B12,Eisen,Jod,Vitamin C,Zink,Mehrfach-ungesättigte-Fettsäuren
471.90000000000003,52.195,10.01,24.310000000000002,388.245,0.9295000000000001,7.865000000000001,102.245,78.65,3.289,4.29
31.799999999999997,8.184,0.156,0.216,3.0,nan,0.11399999999999999,nan,0.12,0.024,0.0624
12.0,2.9960000000000004,0.164,0.07600000000000001,2.2,nan,0.032,nan,7.28,0.018,0.014199999999999999
22.439999999999998,3.42,0.8999999999999999,0.528,12.84,nan,0.45539999999999997,0.15,0.252,0.1908,0.1734
24.5,5.7540000000000004,0.5319999999999999,0.126,21.0,nan,0.238,nan,2.52,0.13999999999999999,0.062299999999999994
39.55,8.1305,0.5599999999999999,0.20299999999999999,7.699999999999999,nan,0.22749999999999998,0.84,8.442,0.077,0.06999999999999999
44.2,0.0,0.0055000000000000005,4.9990000000000006,0.05,nan,0.0,nan,0.0,0.0035000000000000005,3.39245
70.0,7.0,1.2,4.0,67.3,0.12,0.61,12.0,12.0,0.45,0.6
