Kalorien,Kohlenhydrate,Protein,Fett,Kalzium,Vitamin B12,Eisen,Jod,Vitamin C,Zink,Mehrfach-ungesättigte-Fettsäuren
336.59999999999997,37.23,7.139999999999999,17.34,276.92999999999995,0.6629999999999999,5.61,72.92999999999999,56.099999999999994,2.346,3.0599999999999996
93.25,14.885,3.305,1.6625,4.0,nan,1.11,0.2,0,0.91,0.5525
65.9448,13.5972,1.42452,0.36180000000000007,23.965200000000003,0.0,0.7344,1.6956000000000002,13.8564,0.26568,0.12852
79.5,20.46,0.39,0.54,7.5,nan,0.28500000000000003,nan,0.30000000000000004,0.06,0.156
50.440000000000005,8.97,1.69,0.585,4.42,0.0,0.7929999999999999,0.429,0.0,0.403,0.221
44.2,0.0,0.0055000000000000005,4.9990000000000006,0.05,nan,0.0,nan,0.0,0.0035000000000000005,3.39245
22.439999999999998,3.42,0.8999999999999999,0.528,12.84,nan,0.45539999999999997,0.15,0.252,0.1908,0.1734
0,0,0,0,0,3.0,0,nan,0,0,nan
