Kalorien,Kohlenhydrate,Protein,Fett,Kalzium,Vitamin B12,Eisen,Jod,Vitamin C,Zink,Mehrfach-ungesättigte-Fettsäuren
440.88,48.763999999999996,9.351999999999999,22.712,362.724,0.8684,7.348,95.524,73.47999999999999,3.0728,4.008
67.08,12.22,1.82,0.58,32.79,0.0,1.12,3.28,17.7,0.38,0.21
59.36000000000001,15.276800000000001,0.2912,0.4032,5.6000000000000005,nan,0.21280000000000002,nan,0.22400000000000003,0.044800000000000006,0.11648
140.0,14.0,2.4,8.0,134.6,0.24,1.22,24.0,24.0,0.9,1.2
18.7,2.85,0.75,0.44000000000000006,10.700000000000001,nan,0.3795,0.125,0.21000000000000002,0.15900000000000003,0.14450000000000002
